BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t40,3160.842145471822,2285.803473226566,-0.0,0.0,0.0,31.404,0.0,4989.950381301613,-0.0,-10468.0,3970.9803813016133,0.0,-0.0,0.0,0.0,8.97,0.0,-989.9503813016131,-0.0,-2990.0,6087.698180864804,0.0,-660.6981808648043,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1427.0
t41,164.74692394580404,690.8890760541959,-0.0,0.0,0.0,32.364,0.0,9900.0,-0.0,-10788.0,887.3151584294837,8084.441841570516,-0.0,0.0,0.0,9.243,0.0,-5900.0,-0.0,-3081.0,5686.244324631471,0.0,-215.2443246314706,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1471.0
t42,0.0,3225.5836629220507,-0.0,0.0,0.0,33.762,0.0,7994.654337077951,-0.0,-11254.0,7199.012337077951,0.0,-0.0,0.0,0.0,9.642,0.0,-3994.654337077951,-0.0,-3214.0,4901.680208350223,633.3197916497766,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1535.0
t43,0.0,1154.736,-0.0,0.0,0.0,33.264,0.0,9900.0,-0.0,-11088.0,8337.084317527833,720.4146824721665,-0.0,0.0,0.0,9.501,0.0,-5900.0,-0.0,-3167.0,4480.312948217941,1031.687051782059,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1512.0
t44,0.0,782.855,-0.0,0.0,0.0,32.145,0.0,9900.0,-0.0,-10715.0,9498.656936791633,0.0,-538.6569367916327,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3060.0,3376.1086571961946,2084.8913428038054,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1461.0
t45,0.0,381.064,-0.0,0.0,0.0,30.936,0.0,9900.0,-0.0,-10312.0,9989.590847029312,0.0,-1144.5908470293125,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2945.0,3406.1372063064846,1999.8627936935154,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1406.0
t46,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9767.0,-0.0,-9767.0,9991.768203197313,0.0,-1434.7682031973127,0.0,0.0,0.0,0.0,-5767.0,-0.0,-2790.0,3986.5984279483937,1345.4015720516063,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1332.0
t47,0.0,0.0,-859.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-9041.0,9991.768203197313,0.0,-1509.7682031973127,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2582.0,4913.17677565872,318.82322434128037,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1232.0
t48,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8305.0,-0.0,-8305.0,9991.768203197313,0.0,-3314.7682031973127,0.0,0.0,0.0,0.0,-4305.0,-0.0,-2372.0,5703.299374335909,0.0,-571.2993743359093,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1132.0
t49,0.0,1422.0111078098898,-0.0,0.0,0.0,0.0,0.0,6188.98889219011,-0.0,-7611.0,4651.99916390865,0.0,-0.0,0.0,0.0,0.0,0.0,-2477.99916390865,-0.0,-2174.0,4748.98972828146,0.0,-0.0,0.0,0.0,0.0,0.0,-3710.98972828146,-0.0,-1038.0
