Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0089513142766,-0.16304347826086954,-970.0089513142766
