BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t51,0.0,4064.5795912895246,-0.0,0.0,0.0,0.0,0.0,3321.4204087104754,-0.0,-7386.0,1430.4204087104754,0.0,-0.0,0.0,0.0,0.0,0.0,678.5795912895246,-0.0,-2109.0,5007.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1007.0
t52,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7401.0,-0.0,-7401.0,1753.2743602997148,3761.7256397002852,-0.0,0.0,0.0,0.0,0.0,-3401.0,-0.0,-2114.0,5009.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1009.0
t53,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7667.0,-0.0,-7667.0,2085.4401457238214,3770.5598542761786,-0.0,0.0,0.0,0.0,0.0,-3667.0,-0.0,-2189.0,5045.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1045.0
t54,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8455.0,-0.0,-8455.0,2072.8055073517485,4796.194492648252,-0.0,0.0,0.0,0.0,0.0,-4455.0,-0.0,-2414.0,5152.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1152.0
t55,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9848.0,-0.0,-9848.0,1903.9215721892194,6756.07842781078,-0.0,0.0,0.0,0.0,0.0,-5848.0,-0.0,-2812.0,5343.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1343.0
t56,0.0,729.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10629.0,1631.9092542803444,7303.090745719655,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3035.0,5449.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1449.0
t57,7813.904449028112,0.0,-0.0,0.0,0.0,0.0,0.0,2947.095550971888,-0.0,-10761.0,7487.095550971888,0.0,-0.0,0.0,0.0,0.0,0.0,-4414.095550971888,-0.0,-3073.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1467.0,-0.0,-1467.0
t58,15868.01276095136,0.0,-462.0127609513602,0.0,0.0,0.0,0.0,-4571.0,-0.0,-10835.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3094.0,-0.0,-3094.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1477.0,-0.0,-1477.0
t59,21061.511432941632,0.0,-2739.511432941632,0.0,0.0,0.0,0.0,-7390.0,-0.0,-10932.0,0.0,0.0,-2778.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-3122.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1490.0,-0.0,-1490.0
t60,23001.339598443257,0.0,-8043.0391631697385,0.0,0.0,0.0,0.0,-4008.300435273519,-0.0,-10950.0,29396.5970686621,0.0,-26277.89750393562,0.0,0.0,0.0,0.0,8.300435273518815,-0.0,-3127.0,0.0,0.0,-2507.0,0.0,0.0,0.0,0.0,4000.0,-0.0,-1493.0
t61,23478.107871765416,0.0,-7971.107871765416,0.0,0.0,0.0,0.0,-4602.0,-0.0,-10905.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3115.0,-0.0,-3115.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1487.0,-0.0,-1487.0
t62,22590.08146954704,0.0,-4316.08146954704,0.0,0.0,0.0,0.0,-7384.0,-0.0,-10890.0,23488.89750393562,0.0,-26277.89750393562,0.0,0.0,0.0,0.0,5900.0,-0.0,-3111.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1484.0,-0.0,-1484.0
t63,20031.546384467038,0.0,-1803.5463844670376,0.0,0.0,0.0,0.0,-7379.0,-0.0,-10849.0,0.0,0.0,-2802.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-3098.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1479.0,-0.0,-1479.0
t64,13760.769781916764,0.0,-0.0,0.0,0.0,0.0,0.0,-2761.7697819167643,-0.0,-10999.0,1878.2302180832357,0.0,-0.0,0.0,0.0,0.0,0.0,1262.7697819167643,-0.0,-3141.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1499.0,-0.0,-1499.0
