BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.340247825844384e7,8.49355445874415e6,-1.0034917838780902e7,0.0,0.0,0.0,0.0,3.063319912159286e7,0.0,-8.2494314e7,4.7948515484941944e7,2.406755339644212e7,-2.8435200137573138e7,0.0,0.0,0.0,0.0,-2.001679274381089e7,0.0,-2.3564076e7,2.2114734880385228e7,1.3892284049704694e6,-1.6413379075738043e6,0.0,0.0,0.0,0.0,-1.0616406377781883e7,0.0,-1.1246219e7
t46,0.0,79.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-9979.0,1489.6698731210142,7260.3301268789855,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2850.0,5360.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1360.0
t47,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9100.0,-0.0,-9100.0,1360.667747342108,6338.332252657892,-0.0,0.0,0.0,0.0,0.0,-5100.0,-0.0,-2599.0,5241.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1241.0
t48,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8304.0,-0.0,-8304.0,1476.1153511132925,5199.8846488867075,-0.0,0.0,0.0,0.0,0.0,-4304.0,-0.0,-2372.0,5132.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1132.0
t49,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7776.0,-0.0,-7776.0,1593.5502559093904,4403.44974409061,-0.0,0.0,0.0,0.0,0.0,-3776.0,-0.0,-2221.0,5060.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1060.0
t50,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7513.0,-0.0,-7513.0,1776.9987795090385,3881.0012204909617,-0.0,0.0,0.0,0.0,0.0,-3513.0,-0.0,-2145.0,5024.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1024.0
t51,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7386.0,-0.0,-7386.0,1430.4204087104686,4064.5795912895314,-0.0,0.0,0.0,0.0,0.0,-3386.0,-0.0,-2109.0,5007.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1007.0
t52,0.0,3761.725639700294,-0.0,0.0,0.0,0.0,0.0,3639.274360299706,-0.0,-7401.0,1753.2743602997064,0.0,-0.0,0.0,0.0,0.0,0.0,360.72563970029364,-0.0,-2114.0,5009.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1009.0
t53,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7667.0,-0.0,-7667.0,2085.4401457238114,3770.5598542761886,-0.0,0.0,0.0,0.0,0.0,-3667.0,-0.0,-2189.0,5045.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1045.0
t54,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8455.0,-0.0,-8455.0,2072.8055073517385,4796.194492648261,-0.0,0.0,0.0,0.0,0.0,-4455.0,-0.0,-2414.0,5152.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1152.0
t55,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9848.0,-0.0,-9848.0,1903.9215721892106,6756.078427810789,-0.0,0.0,0.0,0.0,0.0,-5848.0,-0.0,-2812.0,5343.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1343.0
t56,0.0,8032.090745719664,-0.0,0.0,0.0,0.0,0.0,2596.9092542803364,-0.0,-10629.0,1631.9092542803367,0.0,-0.0,0.0,0.0,0.0,0.0,1403.0907457196633,-0.0,-3035.0,5449.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1449.0
t57,7813.904449028153,0.0,-0.0,0.0,0.0,0.0,0.0,2947.095550971847,-0.0,-10761.0,7487.095550971847,0.0,-0.0,0.0,0.0,0.0,0.0,-4414.095550971847,-0.0,-3073.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1467.0,-0.0,-1467.0
t58,15868.012760951442,0.0,-462.01276095144203,0.0,0.0,0.0,0.0,-4571.0,-0.0,-10835.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3094.0,-0.0,-3094.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1477.0,-0.0,-1477.0
t59,21061.51143294174,0.0,-2739.511432941741,0.0,0.0,0.0,0.0,-7390.0,-0.0,-10932.0,0.0,0.0,-2778.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-3122.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1490.0,-0.0,-1490.0
t60,18343.0,0.0,-0.0,0.0,0.0,0.0,0.0,-7393.0,-0.0,-10950.0,23504.89750393563,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,5900.0,-0.0,-3127.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1493.0,-0.0,-1493.0
t61,23478.10787176554,0.0,-7971.10787176554,0.0,0.0,0.0,0.0,-4602.0,-0.0,-10905.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3115.0,-0.0,-3115.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1487.0,-0.0,-1487.0
t62,22590.081469547156,0.0,-4316.081469547156,0.0,0.0,0.0,0.0,-7384.0,-0.0,-10890.0,23488.89750393563,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,5900.0,-0.0,-3111.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1484.0,-0.0,-1484.0
