Time_Index,Demand_MW_z1
1124,146080
1125,142613
1126,136342
1127,127612
1128,117841
1129,109584
1130,105041
1131,103132
1132,103063
1133,105118
1134,111998
1135,126108
1136,134789
1137,135847
1138,135452
1139,134868
1140,133520
1141,131946
1142,130355
1143,128865
1144,126883
1145,126180
1146,127630
1147,134717
1148,137007
1149,134274
1150,129676
1151,124373
1152,117190
1153,110596
1154,106253
1155,104067
1156,103340
1157,104166
1158,107214
1159,112602
1160,118855
1161,125612
1162,128538
1163,130733
1164,128924
1165,127393
1166,125539
1167,124647
1168,124030
1169,125390
1170,127547
1171,133836
1172,135142
1173,131442
1174,127111
1175,121043
1176,113803
1177,107144
1178,102689
1179,100127
1180,98997
1181,99175
1182,100846
1183,104748
1184,110442
1185,119795
1186,128441
1187,132778
1188,135036
1189,137254
1190,138234
1191,137922
1192,137351
1193,137956
1194,140009
1195,146427
1196,149586
1197,147218
1198,142894
1199,136836
1200,129714
1201,123707
1202,120484
1203,119371
1204,120093
1205,123470
1206,130813
1207,142739
1208,151974
1209,154716
1210,152882
1211,149574
1212,145327
1213,141229
1214,137475
1215,134170
1216,131861
1217,130935
1218,133231
1219,143354
1220,151244
1221,150310
1222,145690
1223,138461
1224,129596
1225,122893
1226,119768
1227,118542
1228,119123
1229,122160
1230,130096
1231,145198
1232,152720
1233,149981
1234,145894
1235,142360
1236,139839
1237,136863
1238,134060
1239,131735
1240,130076
1241,130288
1242,131696
1243,139516
1244,145593
1245,142910
1246,137088
1247,128347
1248,118742
1249,111487
1250,107885
1251,106703
1252,106575
1253,109065
1254,116494
1255,131088
1256,138335
1257,136140
1258,133986
1259,133504
1260,132408
1261,131003
1262,131318
1263,130118
1264,129485
1265,130214
1266,132819
1267,139304
1268,142365
1269,138925
1270,132887
1271,123887
1272,113241
1273,104902
1274,100346
1275,97848
1276,97219
1277,98937
1278,105881
1279,119452
1280,127367
1281,128243
1282,129130
1283,131142
1284,132168
1285,133080
1286,134588
1287,135635
1288,135673
1289,136092
1290,136464
1291,141778
1292,145928
1293,141951
1294,134691
1295,124689
1296,113684
1297,104752
1298,99079
1299,96044
1300,94482
1301,95397
1302,100923
1303,113804
1304,122106
1305,125203
1306,129290
1307,133577
1308,136527
1309,137819
1310,138720
1311,138814
1312,138714
1313,138987
1314,138871
1315,142527
1316,144543
1317,140472
1318,135534
1319,128948
1320,121007
1321,114331
1322,110153
1323,108385
1324,108114
1325,109505
1326,113215
1327,119542
1328,126166
1329,133448
1330,137048
1331,137552
1332,135649
1333,132701
1334,129425
1335,126128
1336,123417
1337,123082
1338,125394
1339,133875
1340,139723
1341,138719
1342,136111
1343,131703
1344,126415
1345,121129
1346,118288
1347,117216
1348,117219
1349,118554
1350,121725
1351,127288
1352,132649
1353,137977
1354,138471
1355,135244
1356,130421
1357,126979
1358,123913
1359,121132
1360,118778
1361,119362
1362,122600
1363,131256
1364,138711
1365,138115
1366,133839
1367,127014
1368,119059
1369,112758
1370,108818
1371,107042
1372,106562
1373,108622
1374,115770
1375,130299
1376,138605
1377,138896
1378,139518
1379,140564
1380,140293
1381,139583
1382,138731
1383,137538
1384,136213
1385,135969
1386,136999
1387,143066
1388,148021
1389,144604
1390,137371
1391,128113
1392,118097
1393,109933
1394,105457
1395,103814
1396,103197
1397,105368
1398,112945
1399,127833
1400,135875
1401,135421
1402,134147
1403,133961
1404,133804
1405,134189
1406,134196
1407,133847
1408,133763
1409,134138
1410,135012
1411,140517
1412,146038
1413,141653
1414,134567
1415,125008
1416,113358
1417,104730
1418,99152
1419,96189
1420,94947
1421,96293
1422,102475
1423,115663
1424,123843
1425,126090
1426,128544
1427,131634
1428,133876
1429,136301
1430,137960
1431,138995
1432,139996
1433,140183
1434,139300
1435,142094
1436,146985
1437,143010
1438,135741
1439,126022
1440,114973
1441,106071
1442,100781
1443,97882
1444,96864
1445,97906
1446,103812
1447,116850
1448,124595
1449,127135
1450,130556
1451,133993
1452,136312
1453,138858
1454,140484
1455,141175
1456,140923
1457,140260
1458,138713
1459,140010
1460,141621
1461,136489
1462,130487
1463,122538
1464,113968
1465,106137
1466,100414
1467,97322
1468,95814
1469,95688
1470,97887
1471,102200
1472,107731
1473,116890
1474,125227
1475,130559
1476,132828
1477,133304
1478,132239
1479,130656
1480,129991
1481,130022
1482,130837
1483,135088
1484,138139
1485,134912
1486,130820
1487,124605
1488,117774
1489,111386
1490,107238
1491,105581
1492,105048
1493,105973
1494,108354
1495,112666
1496,117790
1497,125949
1498,130108
1499,128767
1500,125433
1501,123149
1502,121420
1503,119605
1504,118307
1505,119045
1506,121754
1507,129974
1508,138778
1509,138091
1510,134399
1511,128129
1512,120895
1513,115081
1514,112581
1515,111914
1516,112789
1517,115716
1518,124981
1519,140868
1520,149120
1521,145852
1522,141536
1523,138721
1524,136108
1525,134106
1526,132127
1527,130332
1528,129033
1529,129403
1530,131282
1531,138836
1532,148457
1533,147924
1534,142592
1535,135006
1536,126602
1537,120612
1538,118491
1539,118095
1540,119936
1541,124176
1542,133405
1543,149053
1544,155488
1545,150090
1546,143347
1547,138768
1548,135255
1549,131995
1550,130015
1551,128053
1552,126608
1553,126211
1554,127779
1555,134937
1556,143878
1557,142813
1558,137204
1559,128399
1560,119117
1561,112196
1562,108769
1563,107396
1564,107097
1565,109792
1566,117333
1567,130795
1568,136786
1569,134220
1570,131749
1571,130627
1572,129538
1573,128919
1574,128602
1575,127882
1576,127850
1577,128236
1578,129085
1579,134133
1580,140295
1581,137524
1582,131508
1583,122584
1584,111964
1585,103912
1586,99274
1587,97082
1588,96682
1589,98375
1590,105472
1591,118663
1592,125797
1593,126620
1594,128229
1595,130217
1596,131893
1597,133103
1598,134168
1599,134890
1600,135200
1601,135177
1602,135534
1603,139963
1604,144861
1605,141204
1606,134676
1607,124441
1608,113771
1609,105550
1610,100756
1611,97979
1612,97013
1613,98413
1614,104823
1615,117652
1616,126005
1617,129383
1618,132237
1619,134939
1620,136027
1621,136360
1622,136336
1623,135355
1624,133918
1625,132627
1626,131841
1627,135362
1628,140124
1629,137685
1630,133789
1631,127629
1632,119854
1633,113169
1634,109512
1635,107546
1636,107258
1637,108514
1638,112129
1639,117434
1640,122848
1641,128555
1642,131097
1643,130614
1644,128747
1645,126974
1646,124844
1647,123125
1648,122232
1649,121779
1650,122074
1651,126061
1652,132176
1653,130318
1654,126434
1655,120831
1656,114318
1657,108524
1658,100498
1659,103261
1660,100575
1661,104307
1662,107137
1663,111732
1664,117234
1665,121570
1666,123870
1667,123729
1668,123350
1669,122740
1670,121714
1671,120098
1672,118975
1673,118901
1674,119359
1675,122387
1676,127431
1677,129124
1678,123850
1679,116032
1680,106863
1681,100956
1682,97025
1683,95221
1684,95499
1685,99009
1686,107851
1687,118734
1688,124905
1689,126171
1690,127475
1691,129592
1692,131117
1693,132273
1694,133167
1695,133169
1696,133025
1697,132969
1698,133031
1699,134334
1700,137433
1701,137908
1702,130574
1703,120477
1704,109921
1705,101513
1706,96582
1707,94125
1708,93462
1709,96125
1710,104077
1711,114645
1712,121105
1713,123011
1714,125357
1715,127946
1716,130302
1717,132397
1718,134479
1719,136166
1720,137392
1721,138294
1722,137886
1723,137848
1724,140449
1725,141251
1726,133652
1727,122520
1728,111100
1729,102674
1730,96896
1731,94120
1732,93183
1733,95666
1734,103580
1735,114243
1736,120700
1737,122399
1738,124963
1739,128472
1740,131720
1741,135362
1742,138743
1743,141848
1744,143757
1745,145613
1746,145491
1747,144478
1748,144756
1749,143866
1750,136055
1751,124672
1752,112828
1753,103906
1754,98247
1755,95037
1756,93960
1757,96327
1758,104319
1759,114819
1760,121197
1761,123315
1762,126892
1763,131000
1764,134856
1765,138858
1766,142939
1767,145837
1768,147134
1769,147732
1770,146785
1771,145989
1772,145415
1773,144612
1774,136913
1775,125721
1776,114181
1777,104761
1778,99040
1779,95467
1780,94525
1781,96247
1782,103323
1783,113139
1784,119732
1785,122614
1786,126487
1787,130685
1788,134193
1789,137900
1790,140995
1791,143341
1792,145070
1793,145663
1794,144320
1795,141797
1796,140179
1797,138405
1798,131907
1799,122828
1800,112373
1801,103709
1802,97392
1803,93728
1804,91452
1805,91725
1806,94118
1807,97930
1808,103138
1809,109607
1810,117068
1811,122724
1812,127086
1813,130711
1814,133993
1815,137128
1816,139173
1817,140178
1818,138972
1819,136716
1820,135506
1821,134396
1822,127817
1823,118870
1824,109525
1825,101187
1826,95348
1827,91757
1828,89481
1829,89034
1830,90254
1831,93303
1832,98317
1833,105030
1834,112295
1835,117558
1836,121526
1837,125754
1838,129762
1839,133463
1840,136736
1841,139353
1842,140106
1843,139583
1844,139961
1845,139572
1846,132030
1847,121007
1848,110131
1849,101248
1850,96131
1851,93169
1852,92166
1853,94882
1854,103255
1855,113743
1856,120337
1857,123585
1858,127812
1859,132604
1860,137074
1861,141693
1862,146207
1863,150152
1864,153231
1865,154784
1866,153992
1867,152119
1868,152135
1869,150885
1870,141268
1871,128671
1872,116755
1873,107868
1874,100536
1875,96824
1876,95707
1877,97655
1878,105704
1879,115809
1880,121832
1881,124188
1882,128682
1883,133954
1884,138969
1885,143947
1886,148530
1887,152297
1888,155340
1889,156610
1890,155324
1891,152864
1892,152335
1893,151705
1894,142489
1895,129995
1896,117144
1897,107796
1898,101798
1899,98264
1900,96769
1901,98814
1902,106880
1903,116756
1904,122829
1905,125358
1906,130137
1907,135457
1908,140055
1909,144207
1910,147733
1911,150286
1912,151914
1913,152297
1914,150816
1915,148955
1916,149422
1917,148058
1918,139900
1919,128501
1920,116764
1921,107422
1922,101867
1923,98607
1924,97445
1925,99709
1926,107638
1927,117691
1928,124289
1929,127700
1930,132193
1931,136743
1932,140941
1933,144665
1934,147987
1935,150430
1936,151787
1937,152336
1938,150693
1939,148932
1940,149851
1941,148490
1942,140382
1943,128495
1944,116531
1945,107561
1946,101997
1947,98709
1948,97407
1949,99224
1950,106444
1951,116001
1952,122610
1953,126559
1954,131204
1955,136480
1956,140714
1957,144557
1958,147766
1959,150047
1960,151098
1961,150867
1962,148794
1963,145275
1964,143110
1965,140640
1966,134019
1967,125059
1968,114868
1969,105916
1970,99485
1971,95786
1972,93523
1973,93499
1974,95810
1975,99602
1976,105319
1977,112414
1978,120173
1979,126095
1980,129827
1981,132836
1982,134793
1983,136098
1984,136657
1985,136491
1986,134822
1987,132179
1988,131219
1989,130733
1990,125713
1991,117575
1992,108215
1993,100633
1994,95408
1995,92145
1996,90519
1997,90171
1998,91615
1999,94851
2000,100568
2001,108160
2002,115163
2003,118991
2004,121297
2005,123562
2006,125194
2007,126512
2008,128074
2009,129519
2010,129987
2011,130034
2012,131117
2013,131714
2014,125545
2015,115862
2016,105600
2017,97553
2018,92757
2019,90332
2020,90082
2021,92745
2022,101929
2023,112211
2024,118385
2025,121256
2026,124889
2027,128323
2028,131622
2029,135145
2030,138606
2031,142017
2032,145528
2033,147999
2034,148064
2035,146061
2036,145727
2037,144455
2038,135965
2039,123556
2040,111577
2041,102303
2042,96899
2043,94015
2044,93572
